2020/09/24 17:52:46 Подключение к URL:  https://quickdraw.withgoogle.com/  прошло успешно. Получен ответ с сервера.
2020/09/24 17:52:46 Подключение к URL:  http://www.snapbubbles.com/  прошло успешно. Получен ответ с сервера.
2020/09/24 17:52:46 Подключение к URL:  http://tonematrix.audiotool.com/  прошло успешно. Получен ответ с сервера.
2020/09/24 17:52:46 Подключение к URL:  https://www.eso.org/public/images/eso1242a/zoomable/  прошло успешно. Получен ответ с сервера.
2020/09/24 17:52:46 Подключение к URL:  http://randomcolour.com/  прошло успешно. Получен ответ с сервера.
2020/09/24 17:52:46 Подключение к URL:  https://yandex.ru/company/  прошло успешно. Получен ответ с сервера.
2020/09/24 17:52:46 Подключение к URL:  http://grudina.info/newyear/  прошло успешно. Получен ответ с сервера.
2020/09/24 17:52:46 Файл html\file_84_.html сохранён
2020/09/24 17:52:46 Получен файл на  12913  байт
2020/09/24 17:52:46 Сохранение файла  html\file_84_.html  заняло по времени  511.2054ms
2020/09/24 17:52:46 Подключение к URL:  http://www.trashloop.com/  прошло успешно. Получен ответ с сервера.
2020/09/24 17:52:46 Подключение к URL:  http://metaphorsofinfinity.com/  прошло успешно. Получен ответ с сервера.
2020/09/24 17:52:46 Подключение к URL:  https://www.remove.bg/  прошло успешно. Получен ответ с сервера.
